textBox7,textBox12,textBox1,textBox13,textBox15,textBox17,textBox5,textBox8,textBox9,textBox10,textBox11,textBox14,textBox16,textBox3,hAB_IDCaptionTextBox,lOCATIONCaptionTextBox,pHCaptionTextBox,tEMPCaptionTextBox,lATITUDECaptionTextBox,cITYCaptionTextBox,textBox4,textBox19,textBox2,textBox20,lOCATIONDataTextBox,cOUNTYDataTextBox,lATITUDEDataTextBox,tEMPDataTextBox,pHDataTextBox,hAB_IDDataTextBox,textBox18,textBox6,textBox21
Fish and Wildlife Research Institute,Fish Kill Database Search Result Report,7/9/2021,To:,6/1/2021,From:,County Selected:,"Hillsborough,Manatee,Pinellas",Probable Cause:,Red Tide,,Note:,"This report is distributed by the Fish and Wildlife Conservation Commission's and Fish and Wildlife Research Institute. These summaries account for fish and wildlife health-related communications received by the Fish and Wildlife Health Group via the statewide Marine Fish Kill Hotline. While every practical step has been taken to make these summaries accurate and informative, reports are summarized and they do not necessary reflect the observations of scientifically trained individuals. Although FWH follows up with each report initiator, FWH is not able to verify every account through direct observation.",,Report Number,Water Body Name,Specimen Count,County,Call Category,City,,Report Date,Comments,ID,GOM - Pass-a-Grille to Blinds Pass,Madeira Beach,Fish Kill,Pinellas,,60421,Species Unidentified,06/04/2021,33163
Fish and Wildlife Research Institute,Fish Kill Database Search Result Report,7/9/2021,To:,6/1/2021,From:,County Selected:,"Hillsborough,Manatee,Pinellas",Probable Cause:,Red Tide,,Note:,"This report is distributed by the Fish and Wildlife Conservation Commission's and Fish and Wildlife Research Institute. These summaries account for fish and wildlife health-related communications received by the Fish and Wildlife Health Group via the statewide Marine Fish Kill Hotline. While every practical step has been taken to make these summaries accurate and informative, reports are summarized and they do not necessary reflect the observations of scientifically trained individuals. Although FWH follows up with each report initiator, FWH is not able to verify every account through direct observation.",,Report Number,Water Body Name,Specimen Count,County,Call Category,City,,Report Date,Comments,ID,Outside Manatee Port Authority,Palmetto,Fish Kill,Manatee,,60421,"Cobia, Snook, Pinfish",06/04/2021,33164
Fish and Wildlife Research Institute,Fish Kill Database Search Result Report,7/9/2021,To:,6/1/2021,From:,County Selected:,"Hillsborough,Manatee,Pinellas",Probable Cause:,Red Tide,,Note:,"This report is distributed by the Fish and Wildlife Conservation Commission's and Fish and Wildlife Research Institute. These summaries account for fish and wildlife health-related communications received by the Fish and Wildlife Health Group via the statewide Marine Fish Kill Hotline. While every practical step has been taken to make these summaries accurate and informative, reports are summarized and they do not necessary reflect the observations of scientifically trained individuals. Although FWH follows up with each report initiator, FWH is not able to verify every account through direct observation.",,Report Number,Water Body Name,Specimen Count,County,Call Category,City,,Report Date,Comments,ID,GOM - Sunset Beach,Treasure Island,Fish Kill,Pinellas,,60421,Needlefish,06/04/2021,33167
Fish and Wildlife Research Institute,Fish Kill Database Search Result Report,7/9/2021,To:,6/1/2021,From:,County Selected:,"Hillsborough,Manatee,Pinellas",Probable Cause:,Red Tide,,Note:,"This report is distributed by the Fish and Wildlife Conservation Commission's and Fish and Wildlife Research Institute. These summaries account for fish and wildlife health-related communications received by the Fish and Wildlife Health Group via the statewide Marine Fish Kill Hotline. While every practical step has been taken to make these summaries accurate and informative, reports are summarized and they do not necessary reflect the observations of scientifically trained individuals. Although FWH follows up with each report initiator, FWH is not able to verify every account through direct observation.",,Report Number,Water Body Name,Specimen Count,County,Call Category,City,,Report Date,Comments,ID,GOM - Upham Beach,St Petersburg Beach,Fish Kill,Pinellas,,60421,Species Unidentified,06/04/2021,33168
Fish and Wildlife Research Institute,Fish Kill Database Search Result Report,7/9/2021,To:,6/1/2021,From:,County Selected:,"Hillsborough,Manatee,Pinellas",Probable Cause:,Red Tide,,Note:,"This report is distributed by the Fish and Wildlife Conservation Commission's and Fish and Wildlife Research Institute. These summaries account for fish and wildlife health-related communications received by the Fish and Wildlife Health Group via the statewide Marine Fish Kill Hotline. While every practical step has been taken to make these summaries accurate and informative, reports are summarized and they do not necessary reflect the observations of scientifically trained individuals. Although FWH follows up with each report initiator, FWH is not able to verify every account through direct observation.",,Report Number,Water Body Name,Specimen Count,County,Call Category,City,,Report Date,Comments,ID,GOM - North Redington Beach,Redington Shores,Fish Kill,Pinellas,,60421,"Silver Perch, Pigfish, Whiting, Hardhead Catfish",06/04/2021,33175
Fish and Wildlife Research Institute,Fish Kill Database Search Result Report,7/9/2021,To:,6/1/2021,From:,County Selected:,"Hillsborough,Manatee,Pinellas",Probable Cause:,Red Tide,,Note:,"This report is distributed by the Fish and Wildlife Conservation Commission's and Fish and Wildlife Research Institute. These summaries account for fish and wildlife health-related communications received by the Fish and Wildlife Health Group via the statewide Marine Fish Kill Hotline. While every practical step has been taken to make these summaries accurate and informative, reports are summarized and they do not necessary reflect the observations of scientifically trained individuals. Although FWH follows up with each report initiator, FWH is not able to verify every account through direct observation.",,Report Number,Water Body Name,Specimen Count,County,Call Category,City,,Report Date,Comments,ID,GOM - St Pete Beach - Caddy's,St Petersburg Beach,Fish Kill,Pinellas,,60421,Species Unidentified,06/04/2021,33180
Fish and Wildlife Research Institute,Fish Kill Database Search Result Report,7/9/2021,To:,6/1/2021,From:,County Selected:,"Hillsborough,Manatee,Pinellas",Probable Cause:,Red Tide,,Note:,"This report is distributed by the Fish and Wildlife Conservation Commission's and Fish and Wildlife Research Institute. These summaries account for fish and wildlife health-related communications received by the Fish and Wildlife Health Group via the statewide Marine Fish Kill Hotline. While every practical step has been taken to make these summaries accurate and informative, reports are summarized and they do not necessary reflect the observations of scientifically trained individuals. Although FWH follows up with each report initiator, FWH is not able to verify every account through direct observation.",,Report Number,Water Body Name,Specimen Count,County,Call Category,City,,Report Date,Comments,ID,Sunshine Skyway Channel,St Petersburg,Fish Kill,Pinellas,,60521,Species Unidentified,06/05/2021,33177
Fish and Wildlife Research Institute,Fish Kill Database Search Result Report,7/9/2021,To:,6/1/2021,From:,County Selected:,"Hillsborough,Manatee,Pinellas",Probable Cause:,Red Tide,,Note:,"This report is distributed by the Fish and Wildlife Conservation Commission's and Fish and Wildlife Research Institute. These summaries account for fish and wildlife health-related communications received by the Fish and Wildlife Health Group via the statewide Marine Fish Kill Hotline. While every practical step has been taken to make these summaries accurate and informative, reports are summarized and they do not necessary reflect the observations of scientifically trained individuals. Although FWH follows up with each report initiator, FWH is not able to verify every account through direct observation.",,Report Number,Water Body Name,Specimen Count,County,Call Category,City,,Report Date,Comments,ID,Tierra Verde Marina,St Petersburg,Fish Kill,Pinellas,,60521,Species Unidentified,06/05/2021,33188
Fish and Wildlife Research Institute,Fish Kill Database Search Result Report,7/9/2021,To:,6/1/2021,From:,County Selected:,"Hillsborough,Manatee,Pinellas",Probable Cause:,Red Tide,,Note:,"This report is distributed by the Fish and Wildlife Conservation Commission's and Fish and Wildlife Research Institute. These summaries account for fish and wildlife health-related communications received by the Fish and Wildlife Health Group via the statewide Marine Fish Kill Hotline. While every practical step has been taken to make these summaries accurate and informative, reports are summarized and they do not necessary reflect the observations of scientifically trained individuals. Although FWH follows up with each report initiator, FWH is not able to verify every account through direct observation.",,Report Number,Water Body Name,Specimen Count,County,Call Category,City,,Report Date,Comments,ID,Marina Cove at  Magnuson & Carlton Arms,St Petersburg,Fish Kill,Pinellas,,60621,Species Unidentified,06/06/2021,33171
Fish and Wildlife Research Institute,Fish Kill Database Search Result Report,7/9/2021,To:,6/1/2021,From:,County Selected:,"Hillsborough,Manatee,Pinellas",Probable Cause:,Red Tide,,Note:,"This report is distributed by the Fish and Wildlife Conservation Commission's and Fish and Wildlife Research Institute. These summaries account for fish and wildlife health-related communications received by the Fish and Wildlife Health Group via the statewide Marine Fish Kill Hotline. While every practical step has been taken to make these summaries accurate and informative, reports are summarized and they do not necessary reflect the observations of scientifically trained individuals. Although FWH follows up with each report initiator, FWH is not able to verify every account through direct observation.",,Report Number,Water Body Name,Specimen Count,County,Call Category,City,,Report Date,Comments,ID,GOM - Redington Beach,North Redington Beach,Fish Kill,Pinellas,,60621,"Triggerfish, Catfish, Grunt, Croaker, Sheepshead",06/06/2021,33172
Fish and Wildlife Research Institute,Fish Kill Database Search Result Report,7/9/2021,To:,6/1/2021,From:,County Selected:,"Hillsborough,Manatee,Pinellas",Probable Cause:,Red Tide,,Note:,"This report is distributed by the Fish and Wildlife Conservation Commission's and Fish and Wildlife Research Institute. These summaries account for fish and wildlife health-related communications received by the Fish and Wildlife Health Group via the statewide Marine Fish Kill Hotline. While every practical step has been taken to make these summaries accurate and informative, reports are summarized and they do not necessary reflect the observations of scientifically trained individuals. Although FWH follows up with each report initiator, FWH is not able to verify every account through direct observation.",,Report Number,Water Body Name,Specimen Count,County,Call Category,City,,Report Date,Comments,ID,GOM - Redington Beach,Redington Beach,Fish Kill,Pinellas,,60621,Species Unidentified,06/06/2021,33173
Fish and Wildlife Research Institute,Fish Kill Database Search Result Report,7/9/2021,To:,6/1/2021,From:,County Selected:,"Hillsborough,Manatee,Pinellas",Probable Cause:,Red Tide,,Note:,"This report is distributed by the Fish and Wildlife Conservation Commission's and Fish and Wildlife Research Institute. These summaries account for fish and wildlife health-related communications received by the Fish and Wildlife Health Group via the statewide Marine Fish Kill Hotline. While every practical step has been taken to make these summaries accurate and informative, reports are summarized and they do not necessary reflect the observations of scientifically trained individuals. Although FWH follows up with each report initiator, FWH is not able to verify every account through direct observation.",,Report Number,Water Body Name,Specimen Count,County,Call Category,City,,Report Date,Comments,ID,Gulfport Casino Beach,Gulfport,Fish Kill,Pinellas,,60621,Species Unidentified,06/06/2021,33200
Fish and Wildlife Research Institute,Fish Kill Database Search Result Report,7/9/2021,To:,6/1/2021,From:,County Selected:,"Hillsborough,Manatee,Pinellas",Probable Cause:,Red Tide,,Note:,"This report is distributed by the Fish and Wildlife Conservation Commission's and Fish and Wildlife Research Institute. These summaries account for fish and wildlife health-related communications received by the Fish and Wildlife Health Group via the statewide Marine Fish Kill Hotline. While every practical step has been taken to make these summaries accurate and informative, reports are summarized and they do not necessary reflect the observations of scientifically trained individuals. Although FWH follows up with each report initiator, FWH is not able to verify every account through direct observation.",,Report Number,Water Body Name,Specimen Count,County,Call Category,City,,Report Date,Comments,ID,GOM - Madeira Beach,Madeira Beach,Fish Kill,Pinellas,,60721,Species Unidentified,06/07/2021,33174
